Date,Temperature Minimum,Temperature Maximum,Precipitation,Snowfall,Snow Depth,Avgerage Wind Speed
2022-05-30,66,91,0.0,0.0,0.0,2.9
2022-01-02,59,70,0.81,0.0,0.0,11.4
2022-01-03,31,60,2.29,0.0,0.0,10.3
2022-01-06,37,59,0.0,0.0,0.0,4.7
2022-01-11,27,41,0.0,0.0,0.0,3.4
2022-01-12,25,53,0.0,0.0,0.0,6.3
2022-01-13,27,53,0.0,0.0,0.0,1.6
2022-01-14,37,56,0.0,0.0,0.0,3.6
2022-01-16,25,38,1.22,0.0,0.0,12.3
2022-01-18,25,49,0.0,0.0,0.0,3.4
2022-01-20,30,50,0.34,0.0,0.0,8.3
2022-01-30,15,44,0.0,0.0,0.0,4.3
2022-01-31,22,53,0.0,0.0,0.0,2.7
2022-02-01,28,52,0.0,0.0,0.0,4.3
2022-02-06,23,44,0.0,0.0,0.0,6.5
2022-02-14,27,50,0.0,0.0,0.0,3.4
2022-02-25,42,69,0.01,0.0,0.0,5.4
2022-02-27,36,46,0.19,0.0,0.0,3.1
2022-03-04,41,60,0.0,0.0,0.0,6.9
2022-03-06,62,81,0.0,0.0,0.0,14.3
2022-03-14,32,67,0.0,0.0,0.0,3.8
2022-03-16,48,72,0.65,0.0,0.0,4.7
2022-03-18,48,77,0.0,0.0,0.0,7.2
2022-03-28,29,61,0.0,0.0,0.0,7.6
2022-04-08,49,68,0.16,0.0,0.0,7.4
2022-04-10,39,64,0.0,0.0,0.0,7.8
2022-04-25,59,85,0.0,0.0,0.0,8.5
2022-04-30,55,72,0.0,0.0,0.0,3.6
2022-05-11,53,77,0.0,0.0,0.0,11.2
2022-05-19,70,92,0.01,0.0,0.0,9.4
2022-05-26,61,82,0.01,0.0,0.0,5.8
2022-05-28,61,82,0.62,0.0,0.0,2.5
2022-05-29,59,88,0.0,0.0,0.0,2.7
